tipo_orden,producto,frecuencia
En sucursal,Flat White,1426
En sucursal,Cappuccino,1423
En sucursal,Café Chorreado,1400
En sucursal,Cortado,1382
En sucursal,Macchiato,1371
En sucursal,Mocha,1364
En sucursal,Café Americano,1362
En sucursal,Latte,1351
En sucursal,Espresso Doble,1338
En sucursal,Espresso,1328
En sucursal,Galleta de Chocolate,1100
En sucursal,Croissant,1090
En sucursal,Muffin de Arándano,1073
En sucursal,Tres Leches,1061
En sucursal,Croissant de Almendra,1059
En sucursal,Empanada de Queso,1034
En sucursal,Pan Casero,1034
En sucursal,Brownie,1027
En sucursal,Empanada de Frijol,1020
En sucursal,Cheesecake,1016
En sucursal,Tostada de Aguacate,780
En sucursal,Affogato,776
En sucursal,Latte Helado,750
En sucursal,Frappé de Café,739
En sucursal,Cold Brew,739
En sucursal,Café Helado,735
En sucursal,Ensalada César,728
En sucursal,Bagel con Queso Crema,727
En sucursal,Wrap de Pollo,704
En sucursal,Limonada,704
En sucursal,Sándwich Jamón y Queso,696
En sucursal,Gallo Pinto,689
En sucursal,Quiche,686
En sucursal,Jugo Natural,685
En sucursal,Té Caliente,673
En sucursal,Agua Embotellada,671
En sucursal,Matcha Latte,669
En sucursal,Chai Latte,640
En sucursal,Chocolate Caliente,637
En sucursal,Taza Sienna,441
En sucursal,Bolsa de Café 340g,408
En sucursal,Bolsa de Café 1kg,396
Para llevar,Café Chorreado,1854
Para llevar,Mocha,1850
Para llevar,Cortado,1842
Para llevar,Macchiato,1840
Para llevar,Espresso,1812
Para llevar,Flat White,1803
Para llevar,Espresso Doble,1799
Para llevar,Café Americano,1797
Para llevar,Latte,1780
Para llevar,Cappuccino,1773
Para llevar,Pan Casero,1454
Para llevar,Empanada de Frijol,1448
Para llevar,Cheesecake,1446
Para llevar,Croissant de Almendra,1428
Para llevar,Croissant,1419
Para llevar,Brownie,1405
Para llevar,Muffin de Arándano,1397
Para llevar,Empanada de Queso,1385
Para llevar,Galleta de Chocolate,1369
Para llevar,Tres Leches,1322
Para llevar,Café Helado,1018
Para llevar,Latte Helado,1001
Para llevar,Wrap de Pollo,981
Para llevar,Gallo Pinto,974
Para llevar,Sándwich Jamón y Queso,973
Para llevar,Cold Brew,972
Para llevar,Affogato,968
Para llevar,Tostada de Aguacate,943
Para llevar,Ensalada César,942
Para llevar,Jugo Natural,937
Para llevar,Bagel con Queso Crema,928
Para llevar,Frappé de Café,928
Para llevar,Matcha Latte,916
Para llevar,Limonada,912
Para llevar,Chocolate Caliente,903
Para llevar,Quiche,900
Para llevar,Té Caliente,899
Para llevar,Chai Latte,877
Para llevar,Agua Embotellada,841
Para llevar,Bolsa de Café 1kg,618
Para llevar,Taza Sienna,592
Para llevar,Bolsa de Café 340g,578
