producto,tamano,ingreso,posicion,pct_acumulado
Bolsa de Café 1kg,Único,14112000,1,0.061829652996845424
Ensalada César,Único,7459400,2,0.09451191728005608
Cheesecake,Único,7172500,3,0.12593717139852786
Wrap de Pollo,Único,7117200,4,0.1571201366982124
Tostada de Aguacate,Único,6937000,5,0.18751358219418157
Tres Leches,Único,6631200,6,0.21656720995443393
Bolsa de Café 340g,Único,6457000,7,0.24485760602874168
Sándwich Jamón y Queso,Único,6179200,8,0.27193086225026286
Flat White,Mediano,5754600,9,0.2971437960042061
Gallo Pinto,Único,5718800,10,0.3221998773221171
Quiche,Único,5667000,11,0.34702900455660707
Cortado,Único,5631000,12,0.3717004030844725
Croissant de Almendra,Único,5529000,13,0.39592490361023486
Bagel con Queso Crema,Único,5474000,14,0.4199084297230985
Espresso Doble,Único,5416500,15,0.44364002804065894
Taza Sienna,Único,5409000,16,0.46733876621100595
Macchiato,Único,5188400,17,0.4900709779179811
Affogato,Único,4860000,18,0.5113643533123028
Brownie,Único,4744700,19,0.5321525587101297
Muffin de Arándano,Único,4649600,20,0.5525240974412898
Mocha,Mediano,4476000,21,0.5721350332982825
Croissant,Único,4407000,22,0.5914436558009113
Latte,Mediano,4076600,23,0.6093046792849632
Espresso,Único,4066700,24,0.6271223273746933
Cappuccino,Mediano,4029900,25,0.6447787416754294
Empanada de Frijol,Único,3766100,26,0.661279355064844
Empanada de Queso,Único,3740100,27,0.677666053277252
Frappé de Café,Mediano,3517800,28,0.6930787767262531
Pan Casero,Único,3470400,29,0.708283824044865
Jugo Natural,Único,3447000,30,0.7233863477041711
Matcha Latte,Mediano,3168000,31,0.7372664738871364
Latte Helado,Mediano,3015600,32,0.7504788818787241
Cold Brew,Mediano,3003000,33,0.7636360848229934
Galleta de Chocolate,Único,2919000,34,0.7764252541184717
Café Americano,Mediano,2800500,35,0.7886952330879776
Café Chorreado,Mediano,2772000,36,0.8008403434980722
Chocolate Caliente,Mediano,2642700,37,0.8124189449702068
Flat White,Pequeño,2485200,38,0.8233074833508588
Café Helado,Mediano,2483700,39,0.834189449702068
Chai Latte,Mediano,2412000,40,0.8447572730459165
Limonada,Mediano,2274600,41,0.8547230984928146
Mocha,Grande,2262400,42,0.8646354714335787
Mocha,Pequeño,2164000,43,0.8741167192429022
Latte,Grande,2160600,44,0.8835830704521557
Cappuccino,Grande,2112500,45,0.8928386785839467
Té Caliente,Mediano,1921600,46,0.9012578864353312
Frappé de Café,Grande,1851000,47,0.909367770767613
Latte,Pequeño,1755000,48,0.9170570452155625
Cappuccino,Pequeño,1706800,49,0.9245351384507536
Cold Brew,Grande,1638000,50,0.9317117946021731
Agua Embotellada,Único,1605600,51,0.9387464949176305
Matcha Latte,Grande,1565200,52,0.9456041885734314
Latte Helado,Grande,1565000,53,0.95246100595864
Café Americano,Grande,1454400,54,0.9588332457062742
Café Chorreado,Grande,1368500,55,0.96482912723449
Chai Latte,Grande,1322400,56,0.9706230283911672
Café Americano,Pequeño,1233600,57,0.976027865404837
Chocolate Caliente,Pequeño,1185600,58,0.9812223974763407
Café Helado,Grande,1180000,59,0.9863923939712583
Limonada,Grande,1132000,60,0.9913520855240098
Café Chorreado,Pequeño,1127500,61,0.9962920609884333
Té Caliente,Pequeño,846300,62,1.0
